source_resource,source_path,path_kind,target_resource,edge_type,source,confidence,evidence,needs_validation,also_declared_by
resolver-logs,ResourceArn,scalar,vpc,contained-in,c7n,high,aws.resolver-logs.filters.is-associated,false,
rest-api,definitions.EndpointConfigurationVpcEndpointIds.items,dotted,vpc-endpoint,references,cfn,high,AWS::ApiGateway::RestApi/definitions/EndpointConfiguration/properties/VpcEndpointIds/items,true,
rest-stage,clientCertificateId,scalar,rest-client-certificate,references,c7n,high,aws.rest-stage.filters.client-certificate,false,
route-table,RouteSet[].NetworkInterfaceId,list_dict,eni,attached-to,asff,medium,securityhub.GetFindings: 'network interface',true,
route-table,Routes[].NetworkInterfaceId,list_dict,eni,attached-to,doc,medium,ec2.DescribeRouteTables: 'network interface',true,
route-table,AssociationSet[].GatewayId,list_dict,internet-gateway,references,asff,medium,securityhub.GetFindings: 'internet gateway or virtual private gateway',true,
route-table,Associations[].GatewayId,list_dict,internet-gateway,references,doc,medium,ec2.DescribeRouteTables: 'internet gateway or virtual private gateway',true,
route-table,AssociationSet[].SubnetId,list_dict,subnet,contained-in,asff,medium,securityhub.GetFindings: 'subnet',true,
route-table,Associations[].SubnetId,list_dict,subnet,contained-in,c7n,high,aws.route-table.filters.subnet,false,doc
route-table,VpcId,scalar,vpc,contained-in,c7n,high,aws.route-table.filters.vpc,false,"asff,doc"
s3,ServerSideEncryptionConfiguration.Rules[].ApplyServerSideEncryptionByDefault.KMSMasterKeyID,list_dict,kms-key,encrypted-by,hand,high,hand-authored from API response shape,true,
s3-directory,definitions.ServerSideEncryptionByDefaultKMSMasterKeyID.anyOf[0],dotted,kms-key,encrypted-by,cfn,high,AWS::S3Express::DirectoryBucket/definitions/ServerSideEncryptionByDefault/properties/KMSMasterKeyID/anyOf[0],true,
s3-directory,definitions.ServerSideEncryptionByDefaultKMSMasterKeyID.anyOf[1],dotted,kms-key,encrypted-by,cfn,high,AWS::S3Express::DirectoryBucket/definitions/ServerSideEncryptionByDefault/properties/KMSMasterKeyID/anyOf[1],true,
sagemaker-endpoint-config,KmsKeyId,scalar,kms-key,encrypted-by,c7n,high,aws.sagemaker-endpoint-config.filters.kms-key,false,
sagemaker-notebook,KmsKeyId,scalar,kms-key,encrypted-by,c7n,high,aws.sagemaker-notebook.filters.kms-key,false,
sagemaker-notebook,SecurityGroups[],list_scalar,security-group,protected-by,c7n,high,aws.sagemaker-notebook.filters.security-group,false,
sagemaker-notebook,SubnetId,scalar,subnet,contained-in,c7n,high,aws.sagemaker-notebook.filters.subnet,false,
secrets-manager,KmsKeyId,scalar,kms-key,encrypted-by,c7n,high,aws.secrets-manager.filters.kms-key,false,
security-group,IpPermissionsEgress[].UserIdGroupPairs[].VpcPeeringConnectionId,list_nested,peering-connection,references,asff,high,securityhub.GetFindings: 'VPC peering connection',true,doc
security-group,IpPermissions[].UserIdGroupPairs[].VpcPeeringConnectionId,list_nested,peering-connection,references,asff,high,securityhub.GetFindings: 'VPC peering connection',true,doc
